"","Berba","Datum_berbe","Secer","Kiselina","Berba_doy"
"1",2007,2007-08-28,106,5.1,240
"2",2008,2008-09-09,112,4.8,253
"3",2009,2009-09-09,106,4.8,252
"4",2010,2010-09-22,106,4,265
"5",2011,2011-09-05,104,6,248
"6",2012,2012-08-29,110,5.6,242
"7",2013,2013-09-13,108,4.9,256
"8",2014,2014-09-17,98,6,260
"9",2015,2015-09-10,106,4,253
"10",2016,2016-09-13,104,4.8,257
"11",2017,2017-09-10,94,4.24,253
"12",2018,2018-09-07,102,4.91,250
"13",2019,2019-09-04,102,5.4,247
"14",2020,2020-08-31,103,5.5,244
