"","Berba","Datum_berbe","Šećer...Oe.","Kiselina..g.L.","Pupanje","Cvatnja","Šara","Pupanje_doy","Sara_doy","Cvatnja_doy","Berba_doy","Cvatnja_Pupanje","Sara_Pupanje","Berba_Pupanje","Sara_Cvatnja","Berba_Sara"
"1",2001,2001-09-27,85,6.9,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA
"2",2002,2002-10-03,85,6.6,NA,NA,NA,NA,NA,NA,276,NA,NA,NA,NA,NA
"3",2003,2003-08-27,91,5.4,NA,NA,NA,NA,NA,NA,239,NA,NA,NA,NA,NA
"4",2004,2004-10-22,85,7.7,NA,NA,NA,NA,NA,NA,296,NA,NA,NA,NA,NA
"5",2005,2005-09-29,81,7.6,2005-04-12,2005-06-05,2005-08-13,102,225,156,272,54,123,170,69,47
"6",2006,2006-09-27,88,6.9,2006-04-08,2006-06-01,2006-08-10,98,222,152,270,54,124,172,70,48
"7",2007,2007-09-12,83,6.9,2007-04-03,2007-05-25,2007-08-04,93,216,145,255,52,123,162,71,39
"8",2008,2008-09-29,87,6.1,2008-04-02,2008-06-01,2008-08-02,93,215,153,273,60,122,180,62,58
"9",2009,2009-09-09,88,6.3,2009-04-05,2009-05-28,2009-07-25,95,206,148,252,53,111,157,58,46
"10",2010,2010-09-21,77,7.1,2010-04-15,2010-05-25,2010-07-30,105,211,145,264,40,106,159,66,53
"11",2011,2011-09-11,92,5.7,2011-04-11,2011-05-26,2011-07-25,101,206,146,254,45,105,153,60,48
"12",2012,2012-09-04,98,5.6,2012-03-29,2012-05-21,2012-07-12,89,194,142,248,53,105,159,52,54
"13",2013,2013-10-11,94,7.3,2013-04-17,2013-06-03,2013-08-05,107,217,154,284,47,110,177,63,67
"14",2014,2014-09-15,76,8.5,2014-03-28,2014-05-27,2014-08-13,87,225,147,258,60,138,171,78,33
"15",2015,2015-09-07,86,6.8,2015-04-07,2015-05-15,2015-07-25,97,206,135,250,38,109,153,71,44
"16",2016,2016-09-13,84,7.9,2016-04-06,2016-06-01,2016-08-01,97,214,153,257,56,117,160,61,43
"17",2017,2017-08-31,94,6.1,2017-04-07,2017-05-28,2017-07-29,97,210,148,243,51,113,146,62,33
"18",2018,2018-09-01,92,7.16,2018-04-12,2018-06-11,2018-07-20,102,201,162,244,60,99,142,39,43
"19",2019,NA,NA,NA,2019-04-02,2019-06-10,2019-07-31,92,212,161,NA,69,120,NA,51,NA
"20",2020,NA,NA,NA,2020-04-08,2020-05-23,2020-08-05,99,218,144,NA,45,119,NA,74,NA
