"","Berba","Datum_berbe","Šećer...Oe.","Kiselina..g.L.","Pupanje","Cvatnja","Šara","Pupanje_doy","Sara_doy","Cvatnja_doy","Berba_doy","Cvatnja_Pupanje","Sara_Pupanje","Berba_Pupanje","Sara_Cvatnja","Berba_Sara"
"1",2001,2001-09-27,74,7.6,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA
"2",2002,2002-09-28,70,7.6,NA,NA,NA,NA,NA,NA,271,NA,NA,NA,NA,NA
"3",2003,2003-08-28,85,5,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA
"4",2004,2004-10-04,74,6.6,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA
"5",2005,2005-10-02,70,7.3,2005-04-15,2005-06-10,2005-08-20,105,232,161,275,56,127,170,71,43
"6",2006,2006-09-29,78,7.7,2006-04-11,2006-06-05,2006-08-15,101,227,156,272,55,126,171,71,45
"7",2007,2007-09-09,78,6,2007-04-08,2007-05-29,2007-08-09,98,221,149,252,51,123,154,72,31
"8",2008,2008-09-11,80,7.4,2008-04-05,2008-06-05,2008-08-05,96,218,157,255,61,122,159,61,37
"9",2009,2009-09-09,84,5.7,2009-04-07,2009-06-02,2009-07-30,97,211,153,252,56,114,155,58,41
"10",2010,2010-09-16,72,7.5,2010-04-17,2010-05-30,2010-08-04,107,216,150,259,43,109,152,66,43
"11",2011,2011-09-08,85,5.7,2011-04-14,2011-05-30,2011-07-29,104,210,150,251,46,106,147,60,41
"12",2012,2012-08-28,81,6.9,2012-03-31,2012-05-26,2012-07-18,91,200,147,241,56,109,150,53,41
"13",2013,2013-09-16,75,7.9,2013-04-22,2013-06-10,2013-08-10,112,222,161,259,49,110,147,61,37
"14",2014,2014-09-10,65,8.7,NA,2014-06-01,2014-08-18,NA,230,152,253,NA,NA,NA,78,23
"15",2015,2015-09-08,75,6.4,2015-04-11,2015-05-18,2015-07-20,101,201,138,251,37,100,150,63,50
"16",2016,2016-09-17,80,6.4,2016-04-08,2016-06-05,2016-08-08,99,221,157,261,58,122,162,64,40
"17",2017,2017-09-01,80,6.7,2017-04-12,2017-05-31,2017-07-23,102,204,151,244,49,102,142,53,40
"18",2018,2018-09-19,95,5.25,2018-04-15,2018-06-14,2018-08-02,105,214,165,262,60,109,157,49,48
"19",2019,NA,NA,NA,2019-04-06,2019-06-13,2019-08-04,96,216,164,NA,68,120,NA,52,NA
"20",2020,NA,NA,NA,2020-04-10,2020-05-27,2020-08-10,101,223,148,NA,47,122,NA,75,NA
