"","Berba","Pupanje_DOY","Cvatnja_DOY","Sara_DOY","Berba_DOY","Sara_Pupanje","Berba_Pupanje","Berba_Sara"
"1",1961,NA,NA,NA,NA,NA,NA,NA
"2",1962,108,150,220,274,112,166,54
"3",1963,107,147,215,273,108,166,58
"4",1964,104,149,215,273,111,169,58
"5",1965,NA,NA,NA,NA,NA,NA,NA
"6",1966,103,146,220,265,117,162,45
"7",1967,103,153,225,270,122,167,45
"8",1968,88,143,221,265,133,177,44
"9",1969,111,148,223,265,112,154,42
"10",1970,112,160,230,271,118,159,41
"11",1971,105,146,224,270,119,165,46
"12",1972,91,146,219,269,128,178,50
"13",1973,100,154,219,267,119,167,48
"14",1974,96,157,221,271,125,175,50
"15",1975,93,148,224,263,131,170,39
"16",1976,103,154,231,271,128,168,40
"17",1977,90,145,221,269,131,179,48
"18",1978,102,156,224,284,122,182,60
"19",1979,100,153,228,277,128,177,49
"20",1980,97,164,234,283,137,186,49
"21",1981,97,146,226,278,129,181,52
"22",1982,105,148,227,270,122,165,43
"23",1983,108,147,224,276,116,168,52
"24",1984,NA,NA,NA,NA,NA,NA,NA
"25",1985,112,152,233,273,121,161,40
"26",1986,111,152,234,275,123,164,41
"27",1987,110,159,239,275,129,165,36
"28",1988,109,158,238,278,129,169,40
"29",1989,95,150,242,286,147,191,44
"30",1990,90,146,243,279,153,189,36
"31",1991,92,153,243,280,151,188,37
"32",1992,101,139,240,275,139,174,35
"33",1993,100,146,238,272,138,172,34
"34",1994,84,142,232,273,148,189,41
"35",1995,95,140,234,275,139,180,41
"36",1996,105,146,233,284,128,179,51
"37",1997,100,145,227,274,127,174,47
"38",1998,79,139,227,278,148,199,51
"39",1999,87,146,230,275,143,188,45
"40",2000,99,165,233,267,134,168,34
"41",2001,92,146,230,269,138,177,39
"42",2002,81,140,229,273,148,192,44
"43",2003,100,156,232,263,132,163,31
"44",2004,95,140,222,275,127,180,53
"45",2005,89,135,230,270,141,181,40
"46",2006,98,143,235,272,137,174,37
"47",2007,88,133,227,258,139,170,31
"48",2008,78,138,225,259,147,181,34
"49",2009,79,137,227,253,148,174,26
"50",2010,77,137,227,258,150,181,31
"51",2011,84,156,230,260,146,176,30
"52",2012,85,151,233,264,148,179,31
"53",2013,79,145,253,263,174,184,10
"54",2014,NA,NA,NA,NA,NA,NA,NA
"55",2015,79,130,234,261,155,182,27
"56",2016,104,131,223,274,119,170,51
"57",2017,NA,NA,NA,NA,NA,NA,NA
"58",2018,NA,NA,NA,NA,NA,NA,NA
"59",2019,NA,NA,NA,NA,NA,NA,NA
"60",2020,NA,NA,NA,NA,NA,NA,NA
