"","Berba","Datum_berbe","Šećer...Oe.","Kiselina..g.L.","Pupanje","Cvatnja","Šara","Pupanje_doy","Sara_doy","Cvatnja_doy","Berba_doy","Cvatnja_Pupanje","Sara_Pupanje","Berba_Pupanje","Sara_Cvatnja","Berba_Sara"
"1",2003,2003-08-28,96,6.9,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA
"2",2004,2004-09-21,88,8.92,NA,NA,NA,NA,NA,NA,265,NA,NA,NA,NA,NA
"3",2005,2005-09-26,90,9.07,2005-03-30,2005-05-29,2005-07-15,89,196,149,269,60,107,180,47,73
"4",2006,2006-09-15,93,8.7,2006-03-25,2006-05-23,2006-07-19,84,200,143,258,59,116,174,57,58
"5",2007,2007-09-05,95,7.1,2007-03-21,2007-05-13,2007-07-15,80,196,133,248,53,116,168,63,52
"6",2008,2008-09-22,97,7.35,2008-03-20,2008-05-18,2008-07-10,80,192,139,266,59,112,186,53,74
"7",2009,2009-09-08,94,6.5,2009-03-25,2009-05-17,2009-07-10,84,191,137,251,53,107,167,54,60
"8",2010,2010-09-17,88,9.5,2010-04-02,2010-05-26,2010-07-12,92,193,146,260,54,101,168,47,67
"9",2011,2011-09-05,91,7.22,NA,NA,NA,NA,NA,NA,248,NA,NA,NA,NA,NA
"10",2012,2012-09-06,99,6.25,2012-03-20,2012-05-18,2012-07-15,80,197,139,250,59,117,170,58,53
"11",2013,2013-09-10,92,8.17,NA,NA,NA,NA,NA,NA,253,NA,NA,NA,NA,NA
"12",2014,2014-09-08,79,9.2,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA
"13",2015,2015-09-03,84,8.25,2015-03-22,2015-05-17,2015-07-13,81,194,137,246,56,113,165,57,52
"14",2016,2016-09-10,89,9.3,2016-03-25,2016-05-22,2016-07-18,85,200,143,254,58,115,169,57,54
"15",2017,2017-09-06,95,7.35,2017-03-22,2017-05-21,2017-07-15,81,196,141,249,60,115,168,55,53
"16",2018,2018-09-03,93,6.9,NA,NA,NA,NA,NA,NA,246,NA,NA,NA,NA,NA
"17",2019,2019-09-13,86,7.65,2019-04-01,2019-05-29,2019-07-14,91,195,149,256,58,104,165,46,61
"18",2020,2020-09-08,87,7.87,2020-03-28,2020-05-21,2020-07-10,88,192,142,252,54,104,164,50,60
