"","Berba","Datum_berbe","Šećer...Oe.","Kiselina..g.L.","Berba_doy"
"1",2000,2000-09-09,83,6.9,253
"2",2001,2001-09-27,72,7.3,270
"3",2002,2002-09-14,79,7.5,257
"4",2003,2003-09-05,82,6.7,248
"5",2004,2004-09-24,80,7.87,268
"6",2005,2005-09-27,71,7.42,270
"7",2006,2006-09-28,79,7.87,271
"8",2007,2007-09-17,81,7.25,260
"9",2008,2008-10-01,77,6.9,275
"10",2009,2009-09-22,87,6.37,265
"11",2010,2010-09-23,70,8.25,266
"12",2011,2011-09-17,88,7.68,260
"13",2012,2012-09-12,82,6.45,256
"14",2013,2013-09-15,82,7.57,258
"15",2014,2014-09-14,70,8.59,257
"16",2015,2015-09-05,78,6.9,248
"17",2016,2016-09-09,72,7.25,253
"18",2017,2017-09-12,81,6.37,255
"19",2018,2018-08-30,84,6.9,242
"20",2019,2019-08-12,80,6.9,224
"21",2020,2020-09-14,81,7.2,258
