"","Berba","Datum_berbe","Šećer...Oe.","Kiselina..g.L.","Pupanje","Cvatnja","Šara","Pupanje_doy","Sara_doy","Cvatnja_doy","Berba_doy","Cvatnja_Pupanje","Sara_Pupanje","Berba_Pupanje","Sara_Cvatnja","Berba_Sara"
"1",2001,2001-10-05,71,NA,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA
"2",2002,2002-09-30,78,NA,NA,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA
"3",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2004,2004-10-04,67,8.4,NA,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA
"5",2005,2005-10-03,70,7.4,2005-04-18,2005-06-10,2005-07-22,108,203,161,276,53,95,168,42,73
"6",2006,2006-09-30,83,6.6,2006-04-15,2006-06-11,2006-07-24,105,205,162,273,57,100,168,43,68
"7",2007,2007-09-14,78,6.8,2007-04-08,2007-05-23,2007-07-25,98,206,143,257,45,108,159,63,51
"8",2008,2008-09-18,85,6.2,2008-04-08,2008-06-09,2008-07-22,99,204,161,262,62,105,163,43,58
"9",2009,2009-09-18,86,4.6,2009-04-10,2009-06-05,2009-07-18,100,199,156,261,56,99,161,43,62
"10",2010,2010-09-23,65,6.9,2010-04-15,2010-06-06,2010-07-20,105,201,157,266,52,96,161,44,65
"11",2011,2011-09-14,85,5.3,2011-04-11,2011-06-07,2011-07-27,101,208,158,257,57,107,156,50,49
"12",2012,2012-09-10,91,5.1,2012-04-14,2012-06-06,2012-07-18,105,200,158,254,53,95,149,42,54
"13",2013,2013-09-24,71,7.7,2013-04-12,2013-06-06,2013-07-19,102,200,157,267,55,98,165,43,67
"14",2014,2014-09-23,61,8.4,2014-04-02,2014-06-05,2014-07-17,92,198,156,266,64,106,174,42,68
"15",2015,2015-09-16,80,5.7,2015-04-06,2015-06-02,2015-07-13,96,194,153,259,57,98,163,41,65
"16",2016,2016-09-23,81,7,2016-04-06,2016-06-07,2016-07-20,97,202,159,267,62,105,170,43,65
"17",2017,2017-09-13,82,6,2017-04-04,2017-06-05,2017-07-18,94,199,156,256,62,105,162,43,57
"18",2018,2018-09-13,85,6,2018-04-14,2018-06-07,2018-07-13,104,194,158,256,54,90,152,36,62
"19",2019,NA,NA,NA,NA,NA,2019-07-14,NA,195,NA,NA,NA,NA,NA,NA,NA
"20",2020,NA,NA,NA,NA,NA,2020-07-16,NA,198,NA,NA,NA,NA,NA,NA,NA
