"","Berba","Datum_berbe","Šećer...Oe.","Kiselina..g.L.","Pupanje","Cvatnja","Šara","Pupanje_doy","Sara_doy","Cvatnja_doy","Berba_doy","Cvatnja_Pupanje","Sara_Pupanje","Berba_Pupanje","Sara_Cvatnja","Berba_Sara"
"1",2010,2010-09-17,"86-93","7,5-8,0",2010-04-02,2010-05-28,2010-07-30,92,211,148,260,56,119,168,63,49
"2",2011,2011-09-02,"90-96","5,9-7,8",2011-04-01,2011-05-26,2011-07-27,91,208,146,245,55,117,154,62,37
"3",2012,2012-08-22,"92-100","6,6-7,0",2012-03-27,2012-05-18,2012-07-23,87,205,139,235,52,118,148,66,30
"4",2013,2013-09-10,"93-95","7,5-7,9",2013-04-12,2013-05-20,2013-07-30,102,211,140,253,38,109,151,71,42
"5",2014,2014-09-17,"85-90","8,5-9,5",2014-03-23,2014-05-24,2014-07-24,82,205,144,260,62,123,178,61,55
"6",2015,2015-09-03,"92-94","6,5-6,8",2015-04-08,2015-05-25,2015-07-24,98,205,145,246,47,107,148,60,41
"7",2016,2016-09-15,"92-95","7,5-8,0",2016-03-27,2016-05-28,2016-07-28,87,210,149,259,62,123,172,61,49
"8",2017,2017-08-24,"88-92","6,75-7,5",2017-03-28,2017-05-26,2017-07-23,87,204,146,236,59,117,149,58,32
"9",2018,2018-08-22,"85-91","6,6-7,3",2018-04-08,2018-05-13,2018-07-14,98,195,133,234,35,97,136,62,39
"10",2019,2019-09-05,"90-93","6,6-7,2",2019-03-26,2019-05-25,2019-07-24,85,205,145,248,60,120,163,60,43
"11",2020,2020-09-09,"92-99","6,3-7,1",2020-03-20,2020-05-25,2020-07-30,80,212,146,253,66,132,173,66,41
