"","Berba","Datum_berbe","Secer","Kiselina","Berba_doy"
"1",1996,1996-10-17,91,8.7,291
"2",1997,1997-10-30,95,6.5,303
"3",1998,1998-10-28,85,6.4,301
"4",1999,1999-10-22,91,4.8,295
"5",2000,2000-09-14,100,5.5,258
"6",2001,2001-10-24,86,6.4,297
"7",2002,2002-10-22,118,6.7,295
"8",2003,2003-10-17,112,4.4,290
"9",2004,2004-11-12,125,6.2,317
"10",2005,2005-10-16,91,7.8,289
"11",2006,2006-10-20,98,6,293
"12",2007,2007-09-28,100,5.7,271
"13",2008,2008-10-25,105,4.9,299
"14",2009,2009-10-31,102,6,304
"15",2010,2010-10-27,103,5.7,300
"16",2011,2011-09-21,97,4.1,264
"17",2012,2012-10-02,93,5.3,276
"18",2013,2013-10-03,89,5.7,276
"19",2014,2014-09-21,79,7.5,264
"20",2015,2015-10-05,99,4.2,278
"21",2016,2016-10-07,102,4.2,281
"22",2017,2017-09-27,97,3.2,270
"23",2018,2018-09-15,95,3.4,258
