"","Berba","Datum_berbe","Šećer...Oe.","Kiselina..g.L.","Pupanje","Cvatnja","Šara","Pupanje_doy","Sara_doy","Cvatnja_doy","Berba_doy","Cvatnja_Pupanje","Sara_Pupanje","Berba_Pupanje","Sara_Cvatnja","Berba_Sara"
"1",2007,2007-09-10,107,6.7,2007-04-12,2007-06-08,2007-07-22,102,203,159,253,57,101,151,44,50
"2",2008,2008-09-02,105,6.8,2008-04-10,2008-05-27,2008-07-18,101,200,148,246,47,99,145,52,46
"3",2009,2009-08-27,105,6,2009-04-01,2009-05-26,2009-07-15,91,196,146,239,55,105,148,50,43
"4",2010,2010-08-30,105,7,2010-04-08,2010-06-02,2010-07-19,98,200,153,242,55,102,144,47,42
"5",2011,2011-08-29,122,7.5,2011-04-02,2011-05-26,2011-07-14,92,195,146,241,54,103,149,49,46
"6",2012,2012-08-21,112,6.7,2012-04-01,2012-05-23,2012-07-12,92,194,144,234,52,102,142,50,40
"7",2013,2013-09-02,107,7.12,2013-04-11,2013-05-29,2013-07-18,101,199,149,245,48,98,144,50,46
"8",2014,2014-09-03,98,8,2014-04-06,2014-05-30,2014-07-19,96,200,150,246,54,104,150,50,46
"9",2015,2015-09-03,105,6.3,2015-04-05,2015-05-29,2015-07-16,95,197,149,246,54,102,151,48,49
"10",2016,2016-09-01,111,7.5,2016-04-08,2016-06-03,2016-07-19,99,201,155,245,56,102,146,46,44
"11",2017,2017-08-23,111,6.3,2017-04-03,2017-05-26,2017-07-15,93,196,146,235,53,103,142,50,39
"12",2018,2018-08-22,114,4.88,2018-04-01,2018-05-25,2018-07-12,91,193,145,234,54,102,143,48,41
"13",2019,2019-09-03,110,6.2,2019-04-05,2019-05-31,2019-07-17,95,198,151,246,56,103,151,47,48
"14",2020,2020-09-02,109,6,2020-04-10,2020-06-04,2020-07-21,101,203,156,246,55,102,145,47,43
